position,lastWeek,title,artist,label
1,1,LONG HAIRED LOVER FROM LIVERPOOL,LITTLE JIMMY OSMOND,MGM
2,3,SOLID GOLD EASY ACTION,T. REX,EMI
3,5,CRAZY HORSES,THE OSMONDS,MGM
4,16,THE JEAN GENIE,DAVID BOWIE,RCA
5,6,GUDBUY T'JANE,SLADE,POLYDOR
6,4,HAPPY XMAS (WAR IS OVER),JOHN AND YOKO AND THE PLASTIC ONO BAND WITH THE HARLEM COMMUNITY CHOIR,APPLE
7,2,MY DING-A-LING,CHUCK BERRY,CHESS
8,11,SHOTGUN WEDDING {1972},ROY C,UK
9,10,NIGHTS IN WHITE SATIN,THE MOODY BLUES,DERAM
10,22,HI HI HI/C.MOON,WINGS,APPLE
11,18,BIG SEVEN,JUDGE DREAD,BIG SHOT
12,8,BEN,MICHAEL JACKSON,TAMLA MOTOWN
13,24,ALWAYS ON MY MIND,ELVIS PRESLEY,RCA
14,14,HELP ME MAKE IT THROUGH THE NIGHT,GLADYS KNIGHT AND THE PIPS,TAMLA MOTOWN
15,29,BALL PARK INCIDENT,WIZZARD,HARVEST
16,9,WHY,DONNY OSMOND,MGM
17,7,CROCODILE ROCK,ELTON JOHN,DJM
18,19,GETTING A DRAG,LYNSEY DE PAUL,MAM
19,13,LITTLE DRUMMER BOY,PIPES AND DRUMS AND THE MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARD,RCA
20,27,YOU'RE SO VAIN,CARLY SIMON,ELEKTRA
21,17,ROCK ME BABY,DAVID CASSIDY,BELL
22,34,DESPERATE DAN,LIEUTENANT PIGEON,DECCA
23,12,ANGEL/WHAT MADE MILWAUKEE FAMOUS (HAS MADE A LOSER OUT OF ME),ROD STEWART,MERCURY
24,20,LOOKIN' THROUGH THE WINDOWS,THE JACKSON 5,TAMLA MOTOWN
25,25,CLAIR,GILBERT O'SULLIVAN,MAM
26,15,STAY WITH ME,BLUE MINK,REGAL ZONOPHONE
27,39,COME SOFTLY TO ME FT MARTY KRISTIAN,NEW SEEKERS FEATURING MARTY KRISTIAN,POLYDOR
28,37,CAN'T KEEP IT IN,CAT STEVENS,ISLAND
29,23,KEEPER OF THE CASTLE,THE FOUR TOPS,PROBE
30,Re,I'M ON MY WAY TO A BETTER PLACE,CHAIRMEN OF THE BOARD,INVICTUS
,,,,
31,26,HI-HO SILVER LINING {1972},JEFF BECK,RAK
32,28,LEADER OF THE PACK {1972},SHANGRI-LAS,KAMA SUTRA
33,30,LET'S DANCE {1972},CHRIS MONTEZ,LONDON
34,31,MOULDY OLD DOUGH,LIEUTENANT PIGEON,DECCA
35,32,OH! CAROL/BREAKING UP IS HARD TO DO/LITTLE DEVIL,NEIL SEDAKA,RCA MAXIMILLION
36,33,JUST OUT OF REACH (OF MY TWO EMPTY ARMS),KEN DODD,COLUMBIA
37,35,LOOP DI LOVE,SHAG,UK
38,36,DON'T DO THAT,GEORDIE,REGAL ZONOPHONE
39,38,I'M STONE IN LOVE WITH YOU,THE STYLISTICS,AVCO
40,40,GOODBYE TO LOVE,THE CARPENTERS,A&M
41,41,BIG SIX,JUDGE DREAD,BIG SHOT
42,42,AMAZING GRACE,PIPES AND DRUMS AND THE MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARD,RCA
43,43,SANTA CLAUS IS COMIN' TO TOWN,THE JACKSON 5,TAMLA MOTOWN
44,44,SING DON'T SPEAK,BLACKFOOT SUE,JAM
45,45,ONLY YOU,JEFF COLLINS,POLYDOR
46,46,PUPPY LOVE,DONNY OSMOND,MGM
47,47,TOO YOUNG,DONNY OSMOND,MGM
48,48,THE LOVE IN YOUR EYES,VICKY LEANDROS,PHILIPS
49,49,AMAZING GRACE,JUDY COLLINS,ELEKTRA
50,50,POPCORN,HOT BUTTER,PYE INTERNATIONAL
